time_epoch,time_str,real_id,x,y,camera_id
1785824054.329,13:14:14,Lon_Vang_02,0.7107,0.3648,cam2
1785824055.344,13:14:15,Lon_Vang_02,0.7107,0.3685,cam2
1785824068.814,13:14:28,Lon_Vang_02,0.6821,0.5870,cam2
1785824069.902,13:14:29,Lon_Vang_02,0.6304,0.5593,cam2
1785824070.926,13:14:30,Lon_Vang_02,0.5911,0.6056,cam2
1785824071.957,13:14:31,Lon_Vang_02,0.6607,0.6148,cam2
1785824072.033,13:14:32,Lon_Xanhduong_04,0.3125,0.6796,cam2
1785824074.135,13:14:34,Lon_Xanhduong_04,0.3161,0.5556,cam2
1785824075.159,13:14:35,Lon_Xanhduong_04,0.3071,0.5444,cam2
1785824075.384,13:14:35,Lon_Vang_02,0.8661,0.4241,cam2
1785824076.264,13:14:36,Lon_Xanhduong_04,0.3911,0.4870,cam2
1785824076.401,13:14:36,Lon_Vang_02,0.7946,0.4463,cam2
1785824077.348,13:14:37,Lon_Xanhduong_04,0.3857,0.5630,cam2
1785824077.429,13:14:37,Lon_Vang_02,0.7679,0.5741,cam2
1785824078.359,13:14:38,Lon_Xanhduong_04,0.3500,0.7278,cam2
1785824078.437,13:14:38,Lon_Vang_02,0.7036,0.7056,cam2
1785824079.683,13:14:39,Lon_Xanhduong_04,0.2893,0.8185,cam2
1785824079.763,13:14:39,Lon_Vang_02,0.6429,0.7796,cam2
1785824080.712,13:14:40,Lon_Xanhduong_04,0.2589,0.7722,cam2
1785824080.790,13:14:40,Lon_Vang_02,0.6250,0.7537,cam2
1785824081.720,13:14:41,Lon_Xanhduong_04,0.2571,0.7685,cam2
1785824081.792,13:14:41,Lon_Vang_02,0.6304,0.7519,cam2
1785824082.736,13:14:42,Lon_Xanhduong_04,0.2839,0.7722,cam2
1785824082.975,13:14:42,Lon_Vang_02,0.6536,0.7630,cam2
1785824084.211,13:14:44,Lon_Vang_02,0.6411,0.8074,cam2
1785824091.184,13:14:51,Lon_Vang_02,0.6304,0.7574,cam2
1785824093.990,13:14:53,Lon_Xanhduong_04,0.9036,0.6074,cam2
1785824096.105,13:14:56,Lon_Xanhduong_04,0.1000,0.7167,cam2
1785824096.105,13:14:56,Lon_Vang_02,0.5911,0.6093,cam2
1785824097.125,13:14:57,Lon_Vang_02,0.6839,0.4981,cam2
1785824098.452,13:14:58,Lon_Vang_02,0.7071,0.5648,cam2
1785824099.467,13:14:59,Lon_Vang_02,0.6804,0.5852,cam2
1785824100.485,13:15:00,Lon_Vang_02,0.6250,0.6148,cam2
1785824101.495,13:15:01,Lon_Vang_02,0.6179,0.6574,cam2
1785824102.520,13:15:02,Lon_Vang_02,0.6304,0.7241,cam2
1785824103.527,13:15:03,Lon_Vang_02,0.6143,0.7574,cam2
1785824104.545,13:15:04,Lon_Vang_02,0.6232,0.7426,cam2
1785824105.577,13:15:05,Lon_Vang_02,0.6304,0.7407,cam2
1785824106.595,13:15:06,Lon_Vang_02,0.6196,0.7352,cam2
1785824107.625,13:15:07,Lon_Vang_02,0.6179,0.7315,cam2
1785824108.656,13:15:08,Lon_Vang_02,0.6143,0.7259,cam2
1785824109.664,13:15:09,Lon_Vang_02,0.6125,0.7241,cam2
1785824110.691,13:15:10,Lon_Vang_02,0.6143,0.7204,cam2
1785824111.789,13:15:11,Lon_Vang_02,0.6125,0.7185,cam2
1785824112.876,13:15:12,Lon_Vang_02,0.6143,0.7167,cam2
1785824113.971,13:15:13,Lon_Vang_02,0.6143,0.7148,cam2
1785824115.020,13:15:15,Lon_Vang_02,0.6179,0.7185,cam2
1785824116.051,13:15:16,Lon_Vang_02,0.6179,0.7111,cam2
1785824117.057,13:15:17,Lon_Vang_02,0.6143,0.7093,cam2
1785824118.073,13:15:18,Lon_Vang_02,0.6214,0.7074,cam2
1785824119.092,13:15:19,Lon_Vang_02,0.6196,0.7093,cam2
1785824120.105,13:15:20,Lon_Vang_02,0.6464,0.7426,cam2
1785824121.119,13:15:21,Lon_Vang_02,0.6589,0.7667,cam2
1785824122.169,13:15:22,Lon_Vang_02,0.6411,0.7833,cam2
1785824123.184,13:15:23,Lon_Vang_02,0.6446,0.7870,cam2
1785824124.199,13:15:24,Lon_Vang_02,0.6554,0.7815,cam2
1785824125.220,13:15:25,Lon_Vang_02,0.6429,0.7833,cam2
1785824126.230,13:15:26,Lon_Vang_02,0.6429,0.7870,cam2
1785824127.258,13:15:27,Lon_Vang_02,0.6161,0.7852,cam2
1785824128.263,13:15:28,Lon_Vang_02,0.6196,0.7852,cam2
1785824129.287,13:15:29,Lon_Vang_02,0.6268,0.7833,cam2
1785824130.310,13:15:30,Lon_Vang_02,0.6268,0.7852,cam2
1785824131.419,13:15:31,Lon_Vang_02,0.6232,0.7815,cam2
1785824132.432,13:15:32,Lon_Vang_02,0.6196,0.7833,cam2
1785824133.459,13:15:33,Lon_Vang_02,0.6232,0.7796,cam2
1785824134.469,13:15:34,Lon_Vang_02,0.6196,0.7870,cam2
1785824135.479,13:15:35,Lon_Vang_02,0.6179,0.7907,cam2
1785824136.506,13:15:36,Lon_Vang_02,0.6375,0.6389,cam2
1785824137.760,13:15:37,Lon_Vang_02,0.5804,0.3870,cam2
1785824138.780,13:15:38,Lon_Vang_02,0.5714,0.3315,cam2
1785824139.792,13:15:39,Lon_Vang_02,0.5929,0.3741,cam2
1785824140.816,13:15:40,Lon_Vang_02,0.6268,0.4222,cam2
1785824141.826,13:15:41,Lon_Vang_02,0.6500,0.4370,cam2
1785824142.995,13:15:42,Lon_Vang_02,0.6214,0.5148,cam2
1785824144.019,13:15:44,Lon_Vang_02,0.6000,0.6296,cam2
1785824145.032,13:15:45,Lon_Vang_02,0.6071,0.7167,cam2
1785824146.133,13:15:46,Lon_Vang_02,0.6107,0.7352,cam2
1785824147.137,13:15:47,Lon_Vang_02,0.6304,0.7370,cam2
1785824148.152,13:15:48,Lon_Vang_02,0.6732,0.7407,cam2
1785824149.246,13:15:49,Lon_Vang_02,0.6732,0.7259,cam2
1785824150.262,13:15:50,Lon_Vang_02,0.6821,0.7333,cam2
1785824151.352,13:15:51,Lon_Vang_02,0.6875,0.7333,cam2
1785824152.524,13:15:52,Lon_Vang_02,0.6839,0.7315,cam2
1785824153.552,13:15:53,Lon_Vang_02,0.6821,0.7333,cam2
1785824154.563,13:15:54,Lon_Vang_02,0.6857,0.7370,cam2
1785824155.569,13:15:55,Lon_Vang_02,0.6964,0.7241,cam2
1785824156.591,13:15:56,Lon_Vang_02,0.6839,0.7444,cam2
1785824157.690,13:15:57,Lon_Vang_02,0.6804,0.7537,cam2
1785824159.182,13:15:59,Lon_Vang_02,0.6821,0.7685,cam2
1785824160.975,13:16:00,Lon_Vang_02,0.7071,0.7648,cam2
1785824161.993,13:16:01,Lon_Vang_02,0.7214,0.7556,cam2
