time_epoch,time_str,real_id,x,y,camera_id
1785723213.886,09:13:33,Lon_Vang_02,0.6893,0.3648,cam1
1785723213.966,09:13:33,Lon_Xanhduong_04,0.1964,0.8426,cam1
1785723214.902,09:13:34,Lon_Vang_02,0.7214,0.3204,cam1
1785723214.979,09:13:34,Lon_Xanhduong_04,0.1482,0.8537,cam1
1785723215.914,09:13:35,Lon_Vang_02,0.6857,0.3093,cam1
1785723215.993,09:13:35,Lon_Xanhduong_04,0.2661,0.7481,cam1
1785723216.942,09:13:36,Lon_Vang_02,0.6018,0.3870,cam1
1785723217.022,09:13:37,Lon_Xanhduong_04,0.3214,0.7204,cam1
1785723217.958,09:13:37,Lon_Vang_02,0.7161,0.4037,cam1
1785723218.037,09:13:38,Lon_Xanhduong_04,0.3964,0.7333,cam1
1785723218.972,09:13:38,Lon_Vang_02,0.7696,0.3981,cam1
1785723219.051,09:13:39,Lon_Xanhduong_04,0.4125,0.7296,cam1
1785723219.984,09:13:39,Lon_Vang_02,0.7911,0.3667,cam1
1785723220.063,09:13:40,Lon_Xanhduong_04,0.4036,0.7167,cam1
1785723221.014,09:13:41,Lon_Vang_02,0.7625,0.2889,cam1
1785723221.078,09:13:41,Lon_Xanhduong_04,0.3500,0.7000,cam1
1785723222.030,09:13:42,Lon_Vang_02,0.7518,0.2611,cam1
1785723222.093,09:13:42,Lon_Xanhduong_04,0.3411,0.6722,cam1
1785723223.046,09:13:43,Lon_Vang_02,0.7000,0.3259,cam1
1785723223.124,09:13:43,Lon_Xanhduong_04,0.2643,0.7296,cam1
1785723224.066,09:13:44,Lon_Vang_02,0.6089,0.2796,cam1
1785723224.138,09:13:44,Lon_Xanhduong_04,0.2339,0.6907,cam1
1785723225.089,09:13:45,Lon_Vang_02,0.6304,0.2685,cam1
1785723225.168,09:13:45,Lon_Xanhduong_04,0.2464,0.6815,cam1
1785723226.102,09:13:46,Lon_Vang_02,0.6286,0.2500,cam1
1785723226.182,09:13:46,Lon_Xanhduong_04,0.2339,0.6796,cam1
1785723227.118,09:13:47,Lon_Vang_02,0.6518,0.2667,cam1
1785723227.284,09:13:47,Lon_Xanhduong_04,0.3929,0.6222,cam1
1785723228.131,09:13:48,Lon_Vang_02,0.6625,0.2852,cam1
